order_id,timestamp,hour_of_day,day_of_week,month,is_weekend,weather,weather_mult,tod_mult,ch_distance_km,segment_count,turn_count,road_highway_frac,road_primary_frac,road_secondary_frac,road_residential_frac,cpm_slack_min,batch_size,estimated_prep_variance,stage_delay_placed,stage_delay_prep,stage_delay_pickup,stage_delay_transit,stage_delay_delivered,route_time_min,cpm_eta_min,weather_delay_min,ground_truth_eta,is_late
1707,2024-01-01 01:42:49.320054,1,0,1,0,rainy,1.25,1.0,22.921,326,17,0.1933,0.0184,0.4018,0.3865,0.0,3.0,15.514,1.47,10.28,0.95,7.26,1.01,103.803,20.97,25.951,149.56,1
2663,2024-01-01 04:45:21.894312,4,0,1,0,rainy,1.25,1.0,20.664,325,23,0.0062,0.1908,0.5323,0.2708,0.0,4.0,15.5975,2.89,2.39,6.21,21.81,1.0,96.827,34.3,24.207,155.572,1
1671,2024-01-01 06:18:20.518648,6,0,1,0,clear,1.0,1.0,4.186,97,6,0.0,0.268,0.3711,0.3608,0.0,2.0,15.848,0.41,4.75,3.18,10.89,0.79,15.796,20.02,0.0,35.458,1
1950,2024-01-01 07:23:14.753660,7,0,1,0,cloudy,1.05,1.0,13.854,189,9,0.0,0.0688,0.8413,0.0899,0.0,5.0,17.2127,1.37,5.36,3.41,15.48,0.75,53.974,26.37,2.699,83.187,1
3563,2024-01-01 08:49:00.125233,8,0,1,0,clear,1.0,1.35,15.202,255,17,0.0157,0.2627,0.5176,0.2039,0.0,3.0,17.898,3.78,12.57,1.49,18.0,0.9,74.151,36.74,0.0,111.708,1
952,2024-01-01 09:30:57.673222,9,0,1,0,cloudy,1.05,1.35,5.291,116,8,0.0259,0.0,0.5948,0.3793,0.0,5.0,16.3676,1.33,6.53,2.9,4.79,0.68,29.892,16.23,1.495,47.143,1
3254,2024-01-01 10:36:11.826229,10,0,1,0,cloudy,1.05,1.35,14.08,222,11,0.0135,0.2297,0.455,0.3018,0.0,5.0,14.66,1.62,5.74,5.35,22.34,0.28,74.39,35.33,3.72,113.2,1
2957,2024-01-01 13:49:42.022707,13,0,1,0,heavy_rain,1.55,1.1,21.551,277,19,0.0,0.2996,0.4368,0.2635,0.0,4.0,16.5659,1.87,4.99,7.19,4.79,0.69,134.564,19.53,74.01,227.651,1
2699,2024-01-01 17:07:31.770900,17,0,1,0,cloudy,1.05,1.35,12.967,344,13,0.0,0.0233,0.7122,0.2645,0.0,3.0,16.6125,1.61,12.23,5.43,10.78,1.31,71.868,31.36,3.593,106.804,1
42,2024-01-02 04:25:44.288584,4,1,1,0,clear,1.0,1.0,2.224,66,4,0.0,0.0,0.0303,0.9697,0.0,2.0,16.3378,1.78,6.82,2.3,10.25,1.16,10.579,22.31,0.0,34.288,1
4615,2024-01-02 05:58:03.179319,5,1,1,0,clear,1.0,1.0,10.973,101,9,0.0594,0.3069,0.4059,0.2277,0.0,3.0,16.0158,0.97,8.65,1.22,11.83,0.9,38.58,23.57,0.0,64.157,1
2039,2024-01-02 08:26:41.602223,8,1,1,0,clear,1.0,1.35,10.962,82,9,0.061,0.0732,0.5122,0.3537,0.0,2.0,16.3714,1.46,3.22,7.29,10.84,0.46,56.435,23.27,0.0,79.065,1
1896,2024-01-02 12:00:08.836167,12,1,1,0,clear,1.0,1.1,15.021,226,12,0.0,0.0531,0.7832,0.1637,0.0,5.0,16.2421,1.33,4.2,1.59,6.1,0.62,62.606,13.84,0.0,77.499,1
3417,2024-01-02 12:25:12.728270,12,1,1,0,clear,1.0,1.1,6.197,119,4,0.0,0.1933,0.6975,0.1092,0.0,3.0,16.8173,1.75,11.9,2.39,12.82,0.13,24.69,28.99,0.0,52.819,1
4530,2024-01-02 16:49:50.117579,16,1,1,0,clear,1.0,1.0,6.333,135,14,0.0222,0.0148,0.7037,0.2593,0.0,4.0,15.697,2.04,5.82,2.14,11.39,0.49,24.472,21.88,0.0,45.764,1
1233,2024-01-02 16:54:05.922727,16,1,1,0,rainy,1.25,1.0,20.442,204,16,0.0441,0.3775,0.4706,0.1078,0.0,4.0,14.9362,1.26,2.56,3.38,5.9,0.11,86.878,13.21,21.72,122.855,1
