feature,importance
feat_distance_x_weather,0.3282549
weather_mult,0.30385885
weather_delay_min,0.2075489
tod_mult,0.07054473
ch_distance_km,0.040433377
feat_transit_x_tod,0.017384257
segment_count,0.007881235
stage_delay_prep,0.006538057
turn_count,0.003403421
feat_prep_x_batch,0.002244446
road_residential_frac,0.002224935
stage_delay_pickup,0.0017563226
road_highway_frac,0.0017472031
road_primary_frac,0.0014560523
stage_delay_transit,0.0011765508
road_secondary_frac,0.0009554913
stage_delay_placed,0.0006041532
weather_cloudy,0.00042200496
weather_rainy,0.00029253203
estimated_prep_variance,0.0002557349
stage_delay_delivered,0.00022947634
batch_size,0.00019308917
hour_of_day,0.00016179014
month,0.0001500403
weather_mult.1,0.00014571255
day_of_week,0.000119784825
is_weekend,1.6962438e-05
weather_heavy_rain,0.0
cpm_slack_min,0.0
feat_cpm_per_km,0.0
